district,order,latitude,longitude,height
2,20,-83.36758263334391,33.95563722814521,0
2,21,-83.35588266340186,33.94672139927168,0
2,22,-83.35049657595867,33.93772200151245,0
2,23,-83.3448977939875,33.9316789691724,0
2,24,-83.3393320915476,33.92722970863473,0
3,1,-83.38682552354322,33.9508156043107,0
3,2,-83.38804209385441,33.95624101801219,0
3,3,-83.3722671447521,33.95964468123965,0
3,4,-83.36737555161645,33.96085023699364,0
3,5,-83.37161331825563,33.9660181501648,0
3,6,-83.3791646693884,33.96091522831748,0
3,7,-83.38353003212821,33.96062414612958,0
3,8,-83.38642711484343,33.96807307336189,0
3,9,-83.38879232139986,33.97553698699673,0
3,10,-83.38284091658535,33.97767936998293,0
3,11,-83.38292895021411,33.981543444812,0
3,12,-83.38596260105489,33.98330747902997,0
